Temperature: loadcase=1,period=1
Temperature: loadcase=1,period=26
   1            7.246
   2            7.246
   3            7.246
   4            7.246
   5            7.246
   6            7.246
   7            7.246
   8            7.246
   9            3.212
  10            3.224
  11            3.211
  12            3.224
  13            3.218
  14            3.218
  15            3.218
  16            3.218
Temperature: loadcase=1,period=27
   1            7.044
   2            7.044
   3            7.044
   4            7.044
   5            7.044
   6            7.044
   7            7.044
   8            7.044
   9            2.877
  10            2.865
  11            2.877
  12            2.866
  13            2.872
  14            2.872
  15            2.871
  16            2.871
Temperature: loadcase=1,period=28
   1            6.865
   2            6.865
   3            6.865
   4            6.865
   5            6.865
   6            6.865
   7            6.865
   8            6.865
   9            2.832
  10            2.844
  11            2.832
  12            2.844
  13            2.842
  14            2.834
  15            2.843
  16            2.833
Temperature: loadcase=1,period=29
   1            6.687
   2            6.687
   3            6.687
   4            6.687
   5            6.687
   6            6.687
   7            6.687
   8            6.687
   9            2.543
  10            2.531
  11            2.543
  12            2.532
  13            2.529
  14            2.545
  15            2.530
  16            2.545
Temperature: loadcase=1,period=30
   1            6.529
   2            6.529
   3            6.529
   4            6.529
   5            6.529
   6            6.529
   7            6.529
   8            6.529
   9            2.495
  10            2.511
  11            2.495
  12            2.510
  13            2.511
  14            2.494
  15            2.511
  16            2.495
Temperature: loadcase=1,period=31
   1            6.372
   2            6.372
   3            6.372
   4            6.372
   5            6.372
   6            6.372
   7            6.372
   8            6.372
   9            2.251
  10            2.233
  11            2.251
  12            2.233
  13            2.231
  14            2.253
  15            2.231
  16            2.253
Temperature: loadcase=1,period=32
   1            6.233
   2            6.233
   3            6.233
   4            6.233
   5            6.233
   6            6.233
   7            6.233
   8            6.233
   9            2.201
  10            2.214
  11            2.201
  12            2.214
  13            2.215
  14            2.201
  15            2.214
  16            2.200
Temperature: loadcase=1,period=33
   1            6.094
   2            6.094
   3            6.094
   4            6.094
   5            6.094
   6            6.094
   7            6.094
   8            6.094
   9            1.987
  10            1.974
  11            1.987
  12            1.975
  13            1.976
  14            1.986
  15            1.976
  16            1.985
Temperature: loadcase=1,period=34
   1            5.971
   2            5.971
   3            5.971
   4            5.971
   5            5.971
   6            5.971
   7            5.971
   8            5.971
   9            1.942
  10            1.952
  11            1.942
  12            1.952
  13            1.949
  14            1.946
  15            1.948
  16            1.946
Temperature: loadcase=1,period=35
   1            5.848
   2            5.848
   3            5.848
   4            5.848
   5            5.849
   6            5.848
   7            5.849
   8            5.848
   9            1.753
  10            1.748
  11            1.753
  12            1.747
  13            1.749
  14            1.751
  15            1.749
  16            1.751
Temperature: loadcase=1,period=36
   1            5.740
   2            5.740
   3            5.740
   4            5.740
   5            5.740
   6            5.740
   7            5.740
   8            5.740
   9            1.714
  10            1.721
  11            1.713
  12            1.721
  13            1.720
  14            1.714
  15            1.720
  16            1.714
Temperature: loadcase=1,period=37
   1            5.632
   2            5.632
   3            5.632
   4            5.632
   5            5.632
   6            5.632
   7            5.632
   8            5.632
   9            1.548
  10            1.545
  11            1.548
  12            1.545
  13            1.545
  14            1.547
  15            1.545
  16            1.547
Temperature: loadcase=1,period=38
   1            5.536
   2            5.536
   3            5.536
   4            5.536
   5            5.536
   6            5.536
   7            5.536
   8            5.536
   9            1.516
  10            1.513
  11            1.517
  12            1.513
  13            1.513
  14            1.517
  15            1.512
  16            1.517
Temperature: loadcase=1,period=39
   1            5.441
   2            5.441
   3            5.441
   4            5.441
   5            5.441
   6            5.441
   7            5.441
   8            5.441
   9            1.364
  10            1.368
  11            1.363
  12            1.369
  13            1.367
  14            1.365
  15            1.367
  16            1.365
Temperature: loadcase=1,period=40
   1            5.356
   2            5.356
   3            5.356
   4            5.356
   5            5.356
   6            5.356
   7            5.356
   8            5.356
   9            1.341
  10            1.331
